"Queue","Count","Age"
trms_us_ari_concessionsabusecapdnrreferrals_wrk_amz,8944,193836
trms_us_ari_f3concessionsabuse_wrk_amz,3003,984149
trms_us_ari_concessionaccinvestigation_wrk_amz,1786,384249
trms_us_ari_psi_transfer_acc_level_wrk_amz,1707,413956
trms_us_ari_concessions_abuse_high_pri_capdnr_referrals_wrk_amz,1642,193832
trms_us_ari_acclinkageinvestigation_wrk_amz,1229,334903
trms_us_ari_mfnegregious_wrk_amz,1132,1104383
trms_us_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,756,99444
trms_us_ari_email_ofm_wrk_amz,607,113271
trms_us_ari_dnr_concessions_abuse_wrk_amz,510,382151
trms_us_ari_email_ari_ecresc_wrk_amz,328,329023
trms_us_ari_email_maa_emails_wrk_amz,298,113183
trms_us_ari_abdrop_ship_abuse_referrals_wrk_amz,294,88916
trms_us_ari_sellerinitiatedrefund_wrk_amz,288,41578
trms_us_ari_cap_high_risk_wrk_amz,283,219953
trms_us_ari_trustedsellerreferral_wrk_amz,281,302218
trms_us_ari_email_contra_ari_wrk_amz,224,113784
trms_us_ari_email_dnr_emails_wrk_amz,172,113544
trms_us_ari_email_arm_appeals_wrk_amz,128,110930
trms_us_ari_concessions_abuse_risky_mfn_orders_wrk_amz,115,14549
trms_us_ari_drop_ship_abuse_referrals_wrk_amz,100,88932
trms_us_ari_retrocharge_wrk_amz,90,108566
trms_us_ari_afnbearsrefundapproval_wrk_amz,81,40787
trms_us_ari_email_mfn_emails_wrk_amz,60,113407
trms_us_ari_afnrefundapproval_wrk_amz,59,6645
trms_us_ari_pfw_high_risk_wrk_amz,52,17611
trms_us_ari_concessionsabuseflrrferrals_highrisk_intransit_wrk_amz,51,412906
trms_us_ari_mdr_acc_investigation_high_risk_wrk_amz,48,414926
trms_us_ari_email_buyer_returns_wrk_amz,47,111601
trms_us_ari_ff_concessions_abuserefundapproval_wrk_amz,46,42917
trms_us_ari_email_ari_rcr_wrk_amz,45,29700
trms_us_ari_afn_holistic_refund_approval_wrk_amz,36,12096
trms_us_ari_email_rqla_wrk_amz,33,4521032
trms_us_ari_pdarefundapproval_wrk_amz,33,41932
trms_us_ari_email_neat_wrk_amz,29,108742
